#hours,days,lat,lon,start,duration
9,1,52.21138272094727,5.7909044265747065,1483344763053,39.1
9,1,52.21240505981445,5.793625736236572,1483345513058,7.601
9,1,52.2151630859375,5.7906064033508295,1483345614259,6.6
9,1,52.216341827392576,5.7827795982360835,1483345749860,13.4
9,1,52.21608624267578,5.77767219543457,1483345827861,9.8
9,1,52.207228515625,5.7733239173889155,1483346085963,10.4
9,1,52.2065189819336,5.7750915527343745,1483346120564,1.1
9,1,52.20470700073242,5.776023769378662,1483346196264,45.001000000000005
9,1,52.20352062988281,5.7779602050781245,1483346284266,14.499
9,1,52.21129879760742,5.790826225280761,1483346459767,11.4
9,1,52.2124660949707,5.79349889755249,1483347317974,26.6
9,1,52.215174530029294,5.789604568481445,1483347460875,24.2
9,1,52.215628479003904,5.788804435729979,1483347508175,43.5
9,1,52.21590313720703,5.785722637176513,1483347583876,49.9
10,1,52.213221405029294,5.771726512908935,1483347789877,9.401
10,1,52.212027404785154,5.7703355789184565,1483347828779,10.799000000000001
10,1,52.20650372314453,5.77523603439331,1483347957379,10.3
10,1,52.204718444824216,5.776023769378662,1483348035280,30.8
10,1,52.20788082885742,5.786967182159423,1483348285482,7.5
10,1,52.21137509155274,5.790893459320068,1483348353283,13.199000000000002
10,1,52.21254620361328,5.79360237121582,1483349123289,16.0
10,1,52.21513638305664,5.790374660491943,1483349228190,10.7
10,1,52.2153957824707,5.788889312744141,1483349264591,3.0
10,1,52.2164944152832,5.7826317787170405,1483349341991,22.6
10,1,52.216505859375,5.78220739364624,1483349381592,38.0
10,1,52.216151092529294,5.777222537994384,1483349466592,6.4
10,1,52.216158721923826,5.777222061157226,1483349473092,1.0
10,1,52.211912963867185,5.770468616485596,1483349591593,40.701
10,1,52.206515167236326,5.775240325927733,1483349755495,32.2
10,1,52.20473370361328,5.776031875610351,1483349849696,8.1
10,1,52.20451626586914,5.7759250640869135,1483349871096,8.301
10,1,52.210699890136716,5.790233993530273,1483350108998,12.6
10,1,52.212557647705076,5.7935666084289545,1483350921906,8.1
10,1,52.21549877929688,5.788850688934326,1483351055207,51.6
10,1,52.21599850463867,5.785807514190673,1483351150608,43.0
11,1,52.215880249023435,5.772858524322509,1483351351510,24.1
11,1,52.21321759033203,5.771697902679443,1483351422110,1.9
11,1,52.2118671875,5.77048864364624,1483351460810,19.000999999999998
11,1,52.20652661132813,5.775211715698242,1483351628312,25.0
11,1,52.20489010620117,5.776055717468261,1483351721513,14.3
11,1,52.20493588256836,5.776033782958983,1483351736513,8.7
11,1,52.20209774780274,5.779613399505615,1483351920214,30.301
11,1,52.20226559448242,5.780891799926757,1483351974715,3.4
11,1,52.21238980102539,5.793519878387451,1483352753521,2.7
11,1,52.21550259399414,5.788856887817382,1483352865823,19.299
11,1,52.21597180175781,5.785789394378662,1483352926723,11.6
11,1,52.216185424804685,5.777162456512451,1483353024223,11.6
11,1,52.211878631591794,5.770486736297606,1483353148324,10.001
11,1,52.2074612121582,5.7712887763977045,1483353229825,22.301
11,1,52.2065189819336,5.77520408630371,1483353316326,23.701
11,1,52.2046879272461,5.776017093658447,1483353409327,11.8
11,1,52.20352825927734,5.778049850463867,1483353465429,1.3
11,1,52.211432312011716,5.790954494476318,1483353630730,17.3
11,1,52.21285900878906,5.792914295196533,1483353695430,4.3
11,1,52.212962005615225,5.793200874328613,1483353711230,22.601
11,1,52.212263916015615,5.793764972686768,1483354495138,12.5
11,1,52.21256146240234,5.793589019775391,1483354525438,27.4
11,1,52.21513256835938,5.790387058258056,1483354643439,20.401
11,1,52.21536145019531,5.789052867889403,1483354685440,2.7
11,1,52.21647534179688,5.782322311401367,1483354774241,10.0
12,1,52.21578869628906,5.772449874877929,1483354875941,2.201
12,1,52.21325955200195,5.771748924255371,1483354926242,4.2
12,1,52.21192822265625,5.770437622070311,1483354971042,16.5
12,1,52.20772442626953,5.772189044952393,1483355095443,2.2
12,1,52.20719799804688,5.773375415802001,1483355120147,1.4969999999999999
12,1,52.20653042602539,5.7752112388610835,1483355153544,23.7
12,1,52.20450863647461,5.775946521759033,1483355243545,7.0
12,1,52.211371276855466,5.79089822769165,1483355604948,15.9
12,1,52.21140942382813,5.790891551971435,1483355621148,0.4
12,1,52.212584350585935,5.7935971260070795,1483356336654,8.801
12,1,52.21512493896485,5.790373229980468,1483356426655,8.6
12,1,52.21622357177734,5.777214908599853,1483356653957,0.7
12,1,52.21582302856445,5.772808456420898,1483356745358,8.5
12,1,52.2157963256836,5.772783184051513,1483356758059,18.799
12,1,52.20763668823242,5.771323108673096,1483356908060,12.1
12,1,52.20645031738281,5.775306129455566,1483357010860,18.401
